,Star_name,Distance.1,Mass.1,Radius.1
0,Sun,,,
1,Sirius,,,
2,Canopus,,,
3,Alpha Centauri,,,
4,Arcturus,,,
5,Vega,,,
6,Capella,,,
7,Rigel,,,
8,Procyon,,,
9,Betelgeuse,,,
10,Achernar,,,
11,Hadar,,,
12,Altair,,,
13,Acrux,,,
14,Aldebaran,,,
15,Antares,,,
16,Spica,,,
17,Pollux,,,
18,Fomalhaut,,,
19,Deneb,,,
20,Mimosa,,,
21,Regulus,,,
22,Adhara,,,
23,Shaula,,,
24,Castor,,,
25,Gacrux,,,
26,Bellatrix,,,
27,Elnath,,,
28,Miaplacidus,,,
29,Alnilam,,,
30,Gamma Velorum,,,
31,Alnair,,,
32,Alioth,,,
33,Alnitak,,,
34,Dubhe,,,
35,Mirfak,,,
36,Wezen,,,
37,Sargas,,,
38,Kaus Australis,,,
39,Avior,,,
40,Alkaid,,,
41,Menkalinan,,,
42,Atria,,,
43,Alhena,,,
44,Peacock,,,
45,Alsephina[2],,,
46,Mirzam,,,
47,Polaris,,,
48,Alphard,,,
49,Mintaka,,,
50,Scheat,,,
51,Almaaz,,,
52,Rasalgethi,,,
53,Tau Ceti,,,
54,Delta Pavonis,,,
55,Ran,,,
56,V382 Carinae,,,
57,Eta Carinae,,,
58,Delta Cephei,,,
59,Mu Cephei,,,
60,Titawin,,,
61,Rho Cassiopeiae,,,
62,P Cygni,,,
63,La Superba,,,
64,VV Cephei,,,
65,61 Cygni,,,
66,R Doradus,,,
67,Polaris Australis,,,
68,R Coronae Borealis,,,
69,54 Piscium,,,
70,Mira,,,
71,RW Cephei,,,
72,Lacaille 8760,,,
73,V838 Monocerotis,,,
74,HD 140283,,,
75,II Pegasi,,,
76,VY Canis Majoris,,,
77,Pistol Star,,,
78,S Doradus,,,
79,UY Scuti,,,
80,Barnard's Star,,,
81,Luhman 16,,,
82,Proxima Centauri,,,
83,KIC 8462852,,,
84,R136a1,,,
85,Melnick 42,,,
86,WR 102,,,
87,VFTS 352,,,
88,YBP 1194,,,
89,Gliese 1214,,,
90,NML Cygni,,,
91,VB 10,,,
92,WOH G64,,,
93,TRAPPIST-1,,,
94,2MASS J0523-1403,,,
95,WISE 0855−0714,,,
96,Icarus,,,
97,SDSS J000013.54+255418.6 [de],,,
98,2MASS J00040288-6410358,,,
99,LHS 102BC,,,
100,2MASS J00242463-0158201,,,
101,2MASS J00250365+4759191AB,,,
102,2MASS J00274197+0503417,,,
103,2MASS J00275592+2219328,,,
104,2MASSW J0030300-145033,,,
105,2MASS J00332386-1521309 [de],,,
106,2MASS J00345157+0523050,,,
107,2MASS 0036+1821,,,
108,2MASSW J0045214+163445,,,
109,WISEP J004701.06+680352.1 [fr],,,
110,2MASS J00501994-3322402 [de],,,
111,2MASS J00034227-2822410,,,
112,2MASS J00584253-0651239 [de],,,
113,CFBDS J005910.90–011401.3,,,
114,2MASSI J0103320+193536,,,
115,SDSSp J010752.33+004156.1 [de],,,
116,2MASSI J0117474-340325 [de],,,
117,2MASS J01415823-4633574 [de],,,
118,SDSS J015141.69+124429.6,,,
119,DENIS-P J020529.0−115925A,,,
120,DENIS-P J020529.0−115925B,,,
121,DENIS-P J020529.0−115925C,,,
122,SDSS J020742.48+000056.2 [de],,,
123,2MASS J02103857-3015313,,,
124,2MASS J02340093-6442068,,,
125,2MASS J02411151-0326587 [de],,,
126,2MASS J02431371−2453298,,,
127,LP 771-21,,,
128,2MASS J02511327+0047364,,,
129,Teegarden's star,,,
130,2MASS J02535980+3206373,,,
131,WISE J0254+0223,,,
132,DEN 0255-4700,,,
133,2MASS J03185403-3421292 [de],,,
134,2MASS J03205965+1854233,,,
135,2MASS J03231002-4631237,,,
136,SDSS J032553.17+042540.1,,,
137,2MASS J03264225-2102057 [de],,,
138,2MASS J03284265+2302051 [de],,,
139,2MASS J03341218-4953322,,,
140,LP 944-20,,,
141,2MASP J0345432+254023,,,
142,Teide 1,,,
143,2MASS J03510004-0052452,,,
144,2MASS J03552337+1133437,,,
145,DENIS-P J035726.9-441730 [de],,,
146,2MASS J04151954−0935066,,,
147,SDSSp J042348.57-041403.5 [de],,,
148,2MASS J04285096-2253227 [de],,,
149,2MASS J04351612-1606574,,,
150,2MASS J04362788-4114465,,,
151,2MASS J04390101-2353083 [de],,,
152,2MASS J04414489+2301513,,,
153,2MASS J04433764+0002040,,,
154,2MASS J04455387-3048204 [de],,,
155,2MASS J04510093-3402150 [de],,,
156,2MASS J05002100+0330501 [de],,,
157,2MASS J05012406-0010452 [de],,,
158,2MASS J05160945-0445499 [de],,,
159,2MASS J0523−1403,,,
160,2MASS 0532+8246,,,
161,SDSS J053951.99-005902.0,,,
162,2MASS J05591914-1404488 [de],,,
163,LSR 0602+3910 [de],,,
164,2MASS J06085283-2753583,,,
165,WISEP J061135.13-041024.0A,,,
166,WISEP J061135.13-041024.0B,,,
167,2MASS J06244595-4521548 [de],,,
168,2MASS J06411840-4322329 [de],,,
169,DENIS-P J0652197-253450 [de],,,
170,2MASS J07003664+3157266 [de],,,
171,2MASS J07075327-4900503,,,
172,UGPS J072227.51-054031.2,,,
173,2MASSI J0727182+171001 [de],,,
174,2MASS J07290002-3954043 [de],,,
175,SDSS J074201.41+205520.5 [de],,,
176,2MASS J0746425+200032 [fr],,,
177,DENIS-P J0751164-253043 [de],,,
178,2MASS J07522390+1612157,,,
179,DENIS J081730.0-615520,,,
180,DENIS J082303.1−491201A,,,
181,DENIS J082303.1−491201B,,,
182,2MASS J08251968+2115521 [de],,,
183,SDSSp J083008.12+482847.4 [de],,,
184,LHS 2021,,,
185,SDSS J083048.80+012831.1 [de],,,
186,2MASSI J0835425-081923 [de],,,
187,2MASSI J0847287-153237 [de],,,
188,2MASS J08533619-0329321,,,
189,2MASSI J0859254-194926 [de],,,
190,2MASSW J0920122+351742 [de],,,
191,2MASSI J0937347+293142,,,
192,2MASS 0939−2448,,,
193,2MASS J09490860-1545485 [de],,,
194,2MASS J10073369-4555147,,,
195,2MASSI J1010148-040649 [de],,,
196,2MASSI J1017075+130839 [de],,,
197,SDSS J102109.69-030420.1,,,
198,2MASS J10224821+5825453 [de],,,
199,2MASSW J1036530-344138 [de],,,
200,2MASS J1047538+212423 [de],,,
201,DEN 1048-3956,,,
202,Luhman 16B,,,
203,Luhman 16A,,,
204,DENIS-P J1058.7−1548,,,
205,TWA 28,,,
206,Cha 110913-773444,,,
207,OTS 44,,,
208,SDSS J111010.01+011613.1,,,
209,2MASS J11145133−2618235,,,
210,TWA 26,,,
211,2MASSW J1146345+223053,,,
212,2MASS J11544223-3400390 [de],,,
213,2MASSW J1155395-372735 [de],,,
214,TWA 27A,,,
215,TWA 27B,,,
216,2MASS J12074836-3900043,,,
217,2MASSI J1217110-031113 [de],,,
218,2MASS J12255432-2739466,,,
219,DENIS-P J1228.2-1547,,,
220,2M 1237+6526,,,
221,2MASSW J1239272+551537 [de],,,
222,TWA 29,,,
223,SDSSp J125453.90-012247.4 [de],,,
224,Kelu-1A,,,
225,Kelu-1B,,,
226,2MASS J13204427+0409045,,,
227,SDSSp J132629.82-003831.5 [de],,,
228,SDSSp J134646.45-003150.4 [de],,,
229,2MASS J13595510-4034582,,,
230,ULAS J141623.94+134836.3,,,
231,SDSS J141659.78+500626.4 [de],,,
232,DENIS-P J142527.97-365023.4 [de],,,
233,LHS 2924,,,
234,2MASS J14392837+1929150,,,
235,LSPM J1440+1339,,,
236,2MASS J14482563+1031590 [de],,,
237,CFBDSIR 1458+10A,,,
238,CFBDSIR 1458+10B,,,
239,TVLM 513-46546,,,
240,2MASS 1503+2525,,,
241,CFBDS J150411+102717,,,
242,2MASSW J1506544+132106 [de],,,
243,2MASS 1507−1627,,,
244,TVLM 868-110639,,,
245,SDSS J151114.66+060742.9 [de],,,
246,2MASSW J1515008+484742 [de],,,
247,2MASSI J1526140+204341 [de],,,
248,DENIS-P J153941.96-052042.4 [de],,,
249,2MASS J15462718-3325111 [de],,,
250,2MASSW J1552591+294849 [de],,,
251,2MASSW J1555157-095605 [de],,,
252,2MASS J16150413+1340079 [de],,,
253,SDSSp J162414.37+002915.6 [de],,,
254,2MASS J16262034+3925190 [de],,,
255,2MASSW J1632291+190441 [de],,,
256,WISEPA J164715.59+563208.2,,,
257,LSPM J1658+7027 [de],,,
258,2MASSI J1726000+153819,,,
259,2MASSW J1728114+394859,,,
260,SDSSp J175032.96+175903.9,,,
261,2MASS J18283572-4849046,,,
262,LSR J1835+3259,,,
263,2MASSW J1841086+311727,,,
264,2MASS J18432213+4040209,,,
265,2MASS J20004841-7523070,,,
266,SDSS J204749.61-071818.3,,,
267,2MASSI J2057540-025230,,,
268,2MASSW J2101154+175658,,,
269,2MASSI J2104149-103736,,,
270,PSO J318.5−22,,,
271,HB 2124-4228,,,
272,2MASS J21392676+0220226,,,
273,2MASS J21481628+4003593,,,
274,2MASS J14112131-2119503,,,
275,2MASSW J2206450-421721,,,
276,2MASSW J2208136+292121,,,
277,2MASSW J2224438-015852,,,
278,2MASS J22282889-4310262,,,
279,2MASS J22373255+3922398,,,
280,2MASSW J2244316+204343,,,
281,2MASS J23224684-3133231,,,
282,2MASS J23225299-6151275,,,
283,2MASS J23515044-2537367,,,
284,2MASSI J2356547-155310,,,
285,WISE 0005+3737,,,
286,WISE 0008-1739,,,
287,WISE 0015-4615,,,
288,WISE 0031-3840,,,
289,WISE 0032-4946,,,
290,WISE 0038+2758,,,
291,WISE 0038+8405,,,
292,WISE 0040+0900,,,
293,WISE 0049+0441,,,
294,WISE 0049+2151,,,
295,WISE 0106+1518,,,
296,WISE 0123+4142,,,
297,WISE 0135+1715,,,
298,WISE 0138-0322,,,
299,WISE 0146+4234,,,
300,WISE 0148-7202,,,
301,WISE 0150+3827,,,
302,WISE 0206+2640,,,
303,WISE 0221+3842,,,
304,WISE 0223-2932,,,
305,WISE 0226-0211,,,
306,WISE 0241-3653,,,
307,WISE 0245-3450,,,
308,WISE 0247+3725,,,
309,WISE 0305+3954,,,
310,WISE 0307+2904,,,
311,WISE 0313+7807,,,
312,WISE 0316+4307,,,
313,WISE 0321-7347,,,
314,WISE 0323-6025,,,
315,WISE 0325-3854,,,
316,WISE 0325+0831,,,
317,WISE 0333-5856,,,
318,WISE 0335+4310,,,
319,WISE 0336-0143,,,
320,WISE 0350-5658,,,
321,WISE 0359-5401,,,
322,WISE 0410+1502,,,
323,WISE 0410+1411,,,
324,WISE 0413-4750,,,
325,WISE 0448-1935,,,
326,WISE 0458+6434A,,,
327,WISE 0458+6434B,,,
328,WISE 0500-1223,,,
329,WISE 0513+0608,,,
330,WISE 0525+6739,,,
331,WISE 0528-3308,,,
332,WISE 0535-7500,,,
333,WISE 0539-1034,,,
334,WISE 0542-1628,,,
335,WISE 0607+2429,,,
336,WISE 0611-0410,,,
337,WISE 0612-4920,,,
338,WISE 0612-3036,,,
339,WISE 0614+3912,,,
340,WISE 0614+0951,,,
341,WISE 0623-0456,,,
342,WISE 0625+5646,,,
343,WISE 0627-1114,,,
344,WISE 0647-6232,,,
345,WISE 0656+4205,,,
346,WISE 0713-2917,,,
347,WISE 0723+3403,,,
348,WISE 0733+7544,,,
349,WISE 0734-7157,,,
350,WISE 0744+5628,,,
351,WISE 0750+2725,,,
352,WISE 0751-7634,,,
353,WISE 0759-4904,,,
354,WISE 0811-8051,,,
355,WISE 0812+4021,,,
356,WISE 0819-0335,,,
357,WISE 0821+1443,,,
358,WISE 0836-1859,,,
359,WISE 0857+5604,,,
360,WISE 0906+4735,,,
361,WISE 0929+0409,,,
362,WISE 0952+1955,,,
363,WISE 1018-2445,,,
364,WISE 1019+6529,,,
365,WISE 1039-1600,,,
366,WISE 1042-3842,,,
367,WISE 1051-2138,,,
368,WISE 1122+2550,,,
369,WISE 1124-0421,,,
370,WISE 1147-2040,,,
371,WISE 1150+6302,,,
372,WISE 1217+1626A,,,
373,WISE 1217+1626B,,,
374,WISE 1225-1013,,,
375,WISE 1311+0122,,,
376,WISE 1311+3629,,,
377,WISE 1318-1758,,,
378,WISE 1320+6034,,,
379,WISE 1322-2340,,,
380,WISE 1348+6603,,,
381,WISE 1405+5534,,,
382,WISE 1433-0837,,,
383,WISE 1436-1814,,,
384,WISE 1457+5815,,,
385,WISE 1506+7027,,,
386,WISE 1517+0529,,,
387,WISE 1519+7009,,,
388,WISE 1523+3125,,,
389,WISE 1541-2250,,,
390,WISE 1542+2230,,,
391,WISE 1612-3420,,,
392,WISE 1614+1739,,,
393,WISE 1617+1807,,,
394,WISE 1622-0959,,,
395,WISE 1627+3255,,,
396,WISE 1639-6847,,,
397,WISE 1647+5632,,,
398,WISE 1653+4444,,,
399,WISE 1711+3500,,,
400,WISE 1717+6129,,,
401,WISE 1721+1117,,,
402,WISE 1728+5716,,,
403,WISE 1738+2732,,,
404,WISE 1741+2553,,,
405,WISE 1746-0338,,,
406,WISE 1800+0134,,,
407,WISE 1804+3117,,,
408,WISE 1809+3838,,,
409,WISE 1812+2721,,,
410,WISE 1828+2650,,,
411,WISE 1830+4542,,,
412,WISE 1841+7000,,,
413,WISE 1852+3537,,,
414,WISE 1906+4508,,,
415,WISE 1928+2356,,,
416,WISE 1952+7240,,,
417,WISE 1959-3338,,,
418,WISE 2030+0749,,,
419,WISE 2014+0424,,,
420,WISE 2015+6646,,,
421,WISE 2018-7423,,,
422,WISE 2019-1148,,,
423,WISE 2056+1459,,,
424,WISE 2134-7137,,,
425,WISE 2157+2659,,,
426,WISE 2209-2734,,,
427,WISE 2213+0911,,,
428,WISE 2220-3628,,,
429,WISE 2226+0440,,,
430,WISE 2237-0614,,,
431,WISE 2237+7228,,,
432,WISE 2239+1617,,,
433,WISE 2255-3118,,,
434,WISE 2301+0216,,,
435,WISE 2313-8037,,,
436,WISE 2319-1844,,,
437,WISE 2325-4105,,,
438,WISE 2327-2730,,,
439,WISE 2335+4222,,,
440,WISE 2340-0745,,,
441,WISE 2342+0856,,,
442,WISE 2343-7418,,,
443,WISE 2344+1034,,,
444,WISE 2348-1028,,,
445,WISE 2357+1227,,,
446,WISE 2359-7335,,,
447,WISEA 1101+5400,,,
448,2M1510,,,
